element_type,id
FWD,1
DEF,2
MID,3
MID,4
DEF,5
MID,6
FWD,8
MID,9
DEF,10
MID,11
MID,12
FWD,13
MID,14
MID,15
MID,16
GK,17
GK,18
MID,19
DEF,20
MID,22
DEF,24
DEF,25
MID,26
DEF,29
MID,30
DEF,31
GK,113
MID,540
MID,578
DEF,585
GK,646
MID,735
DEF,736
MID,737
MID,764
MID,772
MID,815
DEF,817
DEF,32
MID,34
MID,35
DEF,36
DEF,37
MID,38
FWD,39
MID,40
DEF,41
DEF,42
MID,43
FWD,44
DEF,45
MID,46
MID,47
DEF,48
GK,49
MID,50
DEF,51
GK,53
MID,54
MID,55
MID,56
GK,57
MID,58
MID,59
FWD,60
FWD,61
DEF,584
MID,599
MID,618
GK,670
MID,672
GK,686
DEF,699
GK,765
MID,767
GK,778
DEF,793
MID,803
GK,818
DEF,854
MID,865
GK,866
MID,62
MID,63
MID,64
MID,65
MID,66
MID,67
DEF,68
DEF,69
DEF,70
MID,71
MID,72
MID,73
MID,74
DEF,75
FWD,76
GK,77
MID,78
MID,79
GK,80
MID,81
FWD,82
DEF,83
DEF,84
FWD,85
MID,86
MID,87
GK,88
DEF,89
DEF,595
GK,607
DEF,619
DEF,643
MID,644
MID,673
MID,705
MID,799
DEF,802
FWD,804
MID,811
MID,849
GK,855
DEF,90
GK,91
MID,92
DEF,93
MID,94
MID,95
DEF,96
GK,97
MID,98
MID,99
FWD,100
GK,101
DEF,102
DEF,103
DEF,104
MID,105
MID,106
MID,107
MID,108
DEF,109
MID,110
MID,111
DEF,112
DEF,114
MID,115
GK,116
FWD,117
MID,118
FWD,119
MID,120
DEF,121
FWD,258
DEF,508
MID,620
MID,684
MID,701
DEF,725
DEF,733
MID,744
GK,752
GK,789
DEF,797
DEF,834
MID,864
MID,122
MID,123
MID,124
MID,125
FWD,127
MID,128
DEF,129
MID,130
DEF,131
FWD,132
MID,133
MID,134
FWD,135
DEF,136
MID,137
MID,138
DEF,139
MID,140
GK,141
MID,142
MID,143
MID,144
MID,146
GK,147
GK,148
FWD,149
DEF,150
DEF,151
GK,152
DEF,153
FWD,154
FWD,155
DEF,606
MID,621
MID,690
MID,700
FWD,741
MID,742
DEF,746
MID,747
DEF,753
MID,755
MID,786
DEF,816
MID,843
DEF,845
DEF,861
MID,156
DEF,157
MID,158
MID,159
DEF,160
MID,161
MID,162
MID,163
MID,164
MID,165
DEF,166
DEF,167
FWD,168
GK,169
MID,170
DEF,171
GK,172
DEF,173
FWD,174
GK,175
DEF,176
FWD,177
DEF,178
DEF,179
MID,180
GK,181
DEF,182
FWD,183
MID,184
FWD,200
MID,475
FWD,594
GK,596
MID,600
MID,605
MID,608
DEF,622
MID,660
DEF,674
MID,675
MID,694
MID,706
DEF,805
DEF,806
MID,126
GK,145
DEF,185
MID,186
GK,187
FWD,188
DEF,189
DEF,190
DEF,191
GK,192
DEF,194
DEF,195
MID,196
DEF,197
DEF,198
MID,199
DEF,201
MID,202
DEF,203
DEF,206
FWD,207
MID,208
MID,210
FWD,211
FWD,212
MID,213
DEF,214
GK,215
MID,216
DEF,217
MID,218
MID,362
MID,589
MID,609
DEF,611
MID,613
FWD,623
GK,659
MID,667
DEF,671
FWD,677
GK,680
MID,681
GK,687
DEF,716
FWD,717
MID,718
DEF,723
MID,758
MID,791
DEF,819
MID,820
MID,830
DEF,838
GK,847
FWD,851
MID,852
GK,858
DEF,859
DEF,7
MID,219
DEF,220
MID,221
DEF,222
MID,223
MID,224
FWD,225
MID,226
GK,227
DEF,228
MID,229
GK,230
MID,231
FWD,232
GK,233
DEF,234
DEF,235
MID,236
FWD,237
DEF,238
MID,239
MID,240
DEF,241
DEF,242
GK,243
GK,385
MID,615
MID,657
FWD,658
FWD,720
MID,721
MID,724
DEF,763
DEF,792
MID,807
FWD,821
MID,825
MID,842
MID,244
DEF,245
FWD,246
DEF,247
MID,248
MID,249
MID,250
MID,251
DEF,252
MID,253
MID,254
DEF,257
MID,259
DEF,260
MID,261
DEF,262
GK,263
FWD,264
DEF,265
GK,266
GK,579
DEF,588
MID,601
MID,624
FWD,645
FWD,649
MID,650
MID,661
FWD,691
MID,719
MID,760
DEF,761
MID,841
GK,863
FWD,193
MID,256
MID,267
MID,268
MID,269
MID,270
DEF,271
MID,272
MID,273
DEF,274
GK,275
MID,276
DEF,277
FWD,278
FWD,279
MID,280
DEF,281
MID,282
DEF,283
GK,284
DEF,285
DEF,286
FWD,287
MID,288
FWD,558
MID,591
DEF,610
DEF,625
FWD,651
MID,652
MID,662
MID,683
DEF,688
GK,692
DEF,707
DEF,732
MID,796
MID,810
GK,289
DEF,290
GK,291
MID,292
FWD,293
MID,294
MID,295
MID,296
FWD,297
DEF,298
MID,299
MID,300
GK,301
DEF,302
MID,303
MID,304
DEF,305
DEF,306
DEF,307
MID,308
MID,309
MID,310
DEF,311
DEF,312
DEF,313
DEF,626
MID,627
MID,628
MID,629
MID,668
MID,708
DEF,726
DEF,728
MID,743
GK,756
DEF,757
DEF,782
MID,783
FWD,812
GK,813
FWD,824
DEF,837
MID,21
MID,52
FWD,314
DEF,315
DEF,316
MID,317
DEF,318
MID,319
MID,320
DEF,321
MID,322
GK,323
FWD,324
MID,325
FWD,326
FWD,327
FWD,328
MID,329
DEF,330
FWD,331
MID,332
DEF,333
MID,334
GK,335
FWD,336
MID,337
GK,338
MID,339
FWD,340
DEF,393
DEF,553
DEF,575
MID,582
MID,586
DEF,602
GK,614
MID,630
FWD,631
DEF,648
GK,665
DEF,682
MID,727
MID,729
MID,734
DEF,798
MID,831
MID,839
DEF,844
FWD,848
DEF,341
DEF,342
FWD,343
MID,344
MID,345
DEF,346
GK,347
MID,348
MID,349
DEF,350
GK,352
MID,353
MID,354
FWD,355
MID,356
DEF,357
DEF,358
MID,359
GK,361
MID,363
MID,365
DEF,366
GK,367
DEF,368
DEF,369
MID,566
DEF,616
MID,678
MID,762
MID,771
MID,814
MID,209
DEF,370
MID,371
MID,372
MID,373
DEF,374
DEF,375
MID,376
DEF,377
MID,379
DEF,380
MID,381
MID,382
MID,383
GK,384
DEF,386
DEF,387
MID,388
DEF,389
FWD,390
DEF,391
MID,392
MID,394
DEF,395
MID,396
MID,397
DEF,398
FWD,399
MID,400
DEF,401
GK,597
FWD,617
MID,632
GK,669
MID,685
GK,695
DEF,703
MID,709
FWD,748
DEF,766
DEF,768
MID,826
DEF,833
GK,835
DEF,846
FWD,850
DEF,856
DEF,204
MID,402
MID,403
DEF,404
DEF,405
MID,406
DEF,407
GK,408
GK,409
MID,410
GK,411
MID,412
MID,413
MID,414
FWD,415
MID,416
DEF,417
MID,418
DEF,419
