form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,round,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength,expectedAssistHistory,expectedGIsHistory,expectedGoalsHistory,expectedGsConcededHistory,BPShistory,ictHistory,valueForMoney
0.0,17,SHU,1040,1060,1020,2,0,0,-10,0,0.0,0.0,0.0,5,0,0.0,45,6,0,0,1,14,1,0,5,-2,54,False,0,485,FWD,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.3703703703703703
0.0,10,FUL,1175,1170,1180,3,0,0,-9,0,0.01,0.04,0.03,3,0,0.6,21,15,0,0,1,17,1,0,3,-2,53,False,0,558,FWD,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3773584905660377
0.0,17,SHU,1030,1020,1045,2,0,0,-7,0,0.0,0.0,0.0,0,0,0.0,10,19,0,0,1,21,0,2,2,-2,49,True,0,477,FWD,3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4081632653061224
-2.0,17,SHU,1040,1060,1020,2,0,0,-8,0,0.01,0.14,0.13,2,0,4.0,90,18,0,0,1,5,1,1,2,-1,54,False,0,485,FWD,4,3.0,0.0,0.0,0.0,2.95,-10.0,0.0,-0.1851851851851851
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,45,True,0,1,FWD,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,80,True,0,8,FWD,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17,SHU,1040,1060,1020,2,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,45,False,0,33,FWD,3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,50,False,0,39,FWD,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,50,False,0,44,FWD,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,50,False,0,61,FWD,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,45,True,0,100,FWD,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,80,True,0,117,FWD,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,1,0,1,4,0,45,True,0,127,FWD,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,1,0,1,4,0,55,True,0,149,FWD,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,1,0,1,4,0,45,True,0,155,FWD,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,13,0,0,0,1,0,3,0,0,50,True,0,174,FWD,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,13,0,0,0,1,0,3,0,0,55,True,0,177,FWD,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,13,0,0,0,1,0,3,0,0,55,True,0,183,FWD,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1125,1170,1080,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,11,0,0,0,1,0,1,1,0,65,True,0,188,FWD,4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10,FUL,1055,1060,1050,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,11,0,0,0,1,0,1,1,0,50,True,0,193,FWD,4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,11,0,0,0,1,0,1,1,0,50,True,0,200,FWD,4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1125,1170,1080,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,11,0,0,0,1,0,1,1,0,70,True,0,207,FWD,4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1125,1170,1080,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,11,0,0,0,1,0,1,1,0,75,True,0,212,FWD,4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8,CRY,1100,1085,1120,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,17,0,0,0,1,0,1,0,0,50,False,0,232,FWD,2,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8,CRY,1100,1085,1120,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,17,0,0,0,1,0,1,0,0,45,False,0,237,FWD,2,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
