form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_goals_conceded,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength,expectedAssistHistory,expectedGIsHistory,expectedGoalsHistory,expectedGsConcededHistory,BPShistory,ictHistory,valueForMoney
0.0,8,CRY,1100,1085,1120,3,0,0,6,0,3.31,5,0,0.9,90,1,1,0,0,0,21,2,1,0,5,-2,44,False,0,385,GK,5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.4545454545454545
0.0,10,FUL,1175,1170,1180,3,0,0,-3,0,0.0,0,0,0.0,0,1,0,0,0,0,3,0,0,2,2,-1,40,False,1,284,GK,5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,3,BOU,1100,1075,1130,3,0,0,17,0,1.88,6,0,1.5,90,13,0,0,0,0,11,2,1,1,6,-1,44,False,0,607,GK,5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2272727272727272
0.0,7,CHE,1190,1230,1150,3,0,0,-3,0,0.0,0,0,0.0,0,20,0,0,0,0,18,0,0,1,2,-1,40,False,1,192,GK,3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,16,NFO,1065,1080,1050,3,0,0,-3,0,0.0,0,0,0.0,0,10,0,0,0,0,31,0,0,1,3,-1,38,True,1,28,GK,3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2631578947368421
-2.0,8,CRY,1070,1060,1080,3,0,0,-1,0,1.27,2,0,0.0,90,19,1,0,0,0,34,0,1,2,5,-1,44,True,0,385,GK,3,3.0,0.0,0.0,0.0,3.31,6.0,0.9,-0.2272727272727272
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0,0,0.0,0,16,0,0,0,0,1,0,0,1,2,0,40,True,0,18,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,15,0,0,0,0,1,0,0,1,5,0,40,False,0,53,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,15,0,0,0,0,1,0,0,1,5,0,40,False,0,57,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0,0,0.0,0,19,0,0,0,0,1,0,0,1,1,0,40,True,0,80,GK,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0,0,0.0,0,19,0,0,0,0,1,0,0,1,1,0,40,True,0,88,GK,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,18,0,0,0,0,1,0,0,2,2,0,40,True,0,91,GK,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,18,0,0,0,0,1,0,0,2,2,0,40,True,0,97,GK,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0,0,0.0,0,18,0,0,0,0,1,0,0,2,2,0,50,True,0,113,GK,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,18,0,0,0,0,1,0,0,2,2,0,40,True,0,116,GK,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0,0,0.0,0,12,0,0,0,0,1,0,0,1,4,0,40,True,0,141,GK,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0,0,0.0,0,12,0,0,0,0,1,0,0,1,4,0,40,True,0,147,GK,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0,0,0.0,0,12,0,0,0,0,1,0,0,1,4,0,45,True,0,152,GK,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,13,0,0,0,0,1,0,0,3,0,0,40,True,0,169,GK,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,13,0,0,0,0,1,0,0,3,0,0,45,True,0,172,GK,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,13,0,0,0,0,1,0,0,3,0,0,40,True,0,175,GK,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,13,0,0,0,0,1,0,0,3,0,0,40,True,0,181,GK,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1125,1170,1080,3,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,1,0,0,1,1,0,50,True,0,187,GK,4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1125,1170,1080,3,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,1,0,0,1,1,0,40,True,0,192,GK,4,2.7,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
