,round,form,strength,oppStrength,overallStrength,defenceStrength,attackStrength,value,player_ID,valueForMoney,total_points
0,21,0.0,3,5,1100,1085,1120,44,385,-0.4545454545454545,-2
1,3,0.0,3,5,1175,1170,1180,40,284,-0.25,-1
2,11,0.0,3,5,1100,1075,1130,44,607,-0.2272727272727272,-1
3,18,0.0,3,3,1190,1230,1150,40,192,-0.25,-1
4,31,0.0,3,3,1065,1080,1050,38,28,-0.2631578947368421,-1
5,34,-2.0,3,3,1070,1060,1080,44,385,-0.2272727272727272,-1
6,1,0.0,5,3,1350,1330,1370,40,18,0.0,0
7,1,0.0,4,3,1285,1350,1220,40,53,0.0,0
8,1,0.0,4,3,1285,1350,1220,40,57,0.0,0
9,1,0.0,3,3,1100,1145,1055,40,80,0.0,0
10,1,0.0,3,3,1100,1145,1055,40,88,0.0,0
11,1,0.0,3,4,1100,1090,1110,40,91,0.0,0
12,1,0.0,3,4,1100,1090,1110,40,97,0.0,0
13,1,0.0,5,4,1350,1330,1370,50,113,0.0,0
14,1,0.0,3,4,1100,1090,1110,40,116,0.0,0
15,1,0.0,3,2,1100,1135,1070,40,141,0.0,0
16,1,0.0,3,2,1100,1135,1070,40,147,0.0,0
17,1,0.0,3,2,1100,1135,1070,45,152,0.0,0
18,1,0.0,2,5,1045,1040,1050,40,169,0.0,0
19,1,0.0,2,5,1045,1040,1050,45,172,0.0,0
20,1,0.0,2,5,1045,1040,1050,40,175,0.0,0
21,1,0.0,2,5,1045,1040,1050,40,181,0.0,0
22,1,0.0,3,4,1125,1170,1080,50,187,0.0,0
23,1,0.0,3,4,1125,1170,1080,40,192,0.0,0
24,1,0.0,3,4,1125,1170,1080,40,215,0.0,0
25,1,0.0,3,2,1100,1085,1120,45,227,0.0,0
26,1,0.0,3,2,1100,1085,1120,40,233,0.0,0
27,1,0.0,3,2,1100,1085,1120,40,243,0.0,0
28,1,0.0,3,3,1095,1065,1125,40,266,0.0,0
29,1,0.0,3,3,1175,1170,1180,40,284,0.0,0
30,1,0.0,4,3,1370,1390,1350,40,289,0.0,0
31,1,0.0,4,3,1370,1390,1350,40,301,0.0,0
32,1,0.0,2,3,1090,1120,1060,40,323,0.0,0
33,1,0.0,2,3,1090,1120,1060,45,335,0.0,0
34,1,0.0,2,3,1090,1120,1060,40,338,0.0,0
35,1,0.0,5,2,1365,1370,1360,40,347,0.0,0
36,1,0.0,5,2,1365,1370,1360,40,361,0.0,0
37,1,0.0,5,2,1365,1370,1360,40,367,0.0,0
