form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,round,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength,expectedAssistHistory,expectedGIsHistory,expectedGoalsHistory,expectedGsConcededHistory,BPShistory,ictHistory,valueForMoney
0.0,6,BUR,1045,1040,1050,2,0,0,-6,0,0.06,0.1,0.04,1,0,1.7,30,13,0,0,1,1,0,3,0,-2,50,True,0,184,MID,5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
0.0,11,LIV,1240,1270,1210,4,0,0,1,0,0.05,0.05,0.0,1,0,1.6,57,3,0,0,1,2,1,1,3,-2,60,True,0,304,MID,3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333
0.0,13,MCI,1355,1360,1350,5,0,0,1,0,0.24,0.24,0.0,0,0,1.7,45,16,0,0,1,6,1,0,2,-2,57,True,0,365,MID,3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.3508771929824561
0.0,20,WOL,1100,1100,1105,3,0,0,-6,0,0.01,0.01,0.0,1,0,0.6,38,12,0,0,1,6,1,1,1,-2,50,False,0,715,MID,2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
0.0,11,LIV,1370,1390,1350,4,0,0,-11,0,0.0,0.0,0.0,1,0,0.0,23,18,0,0,1,7,0,1,2,-2,78,False,0,294,MID,4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2564102564102564
0.0,11,LIV,1370,1390,1350,4,0,0,-7,0,0.0,0.07,0.07,2,0,0.1,25,18,0,0,1,7,1,1,2,-2,49,False,0,300,MID,4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.4081632653061224
0.0,18,TOT,1230,1310,1150,4,0,0,-1,0,0.4,0.4,0.0,0,0,0.6,48,12,0,0,1,8,1,1,0,-2,50,False,0,493,MID,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
0.0,3,BOU,1100,1145,1055,3,0,0,-1,0,0.0,0.0,0.0,2,0,0.3,53,20,0,0,1,9,1,2,1,-2,50,True,0,66,MID,3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
0.0,1,ARS,1350,1330,1370,5,0,0,-7,0,0.0,0.0,0.0,0,0,0.0,23,6,0,0,1,12,0,1,3,-2,54,True,0,4,MID,2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.3703703703703703
0.0,7,CHE,1125,1170,1080,3,0,0,-9,0,0.06,0.06,0.0,2,0,0.4,44,5,0,0,1,14,1,2,3,-2,54,True,0,202,MID,3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.3703703703703703
0.0,6,BUR,1050,1050,1050,2,0,0,-7,0,0.01,0.01,0.0,3,0,0.0,55,2,0,0,1,20,1,2,3,-2,47,False,0,475,MID,4,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.425531914893617
0.0,3,BOU,1100,1145,1055,3,0,0,-8,0,0.02,0.02,0.0,0,0,0.0,27,16,0,0,1,23,0,1,1,-2,52,True,0,63,MID,3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.3846153846153846
0.0,6,BUR,1050,1050,1050,2,0,0,-6,0,0.01,0.01,0.0,3,0,0.0,34,8,0,0,1,26,1,0,3,-2,47,False,0,161,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.425531914893617
0.0,13,MCI,1355,1360,1350,5,0,0,5,0,0.17,0.22,0.05,4,0,3.5,90,5,0,0,1,2,1,4,1,-1,50,True,0,566,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
0.0,20,WOL,1100,1115,1085,3,0,0,5,0,0.01,0.03,0.02,1,0,2.0,90,2,0,0,1,8,1,1,1,-1,49,True,0,565,MID,4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2040816326530612
0.0,5,BHA,1100,1135,1070,3,0,0,2,0,0.17,0.2,0.03,1,0,3.0,68,17,0,0,1,12,1,1,1,-1,48,True,0,128,MID,2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2083333333333333
0.0,8,CRY,1070,1060,1080,3,0,0,3,0,0.06,0.06,0.0,2,0,2.7,74,11,0,0,1,16,1,2,1,-1,54,True,0,221,MID,4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.1851851851851851
0.0,19,WHU,1145,1150,1140,3,0,0,-5,0,0.0,0.87,0.87,0,0,4.5,57,1,0,1,0,19,0,2,0,-1,56,False,0,525,MID,5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.1785714285714285
0.0,17,SHU,1030,1020,1045,2,0,0,-3,0,0.03,0.08,0.05,2,0,1.6,18,12,1,0,0,19,0,3,2,-1,47,True,0,587,MID,2,3.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2127659574468085
0.0,19,WHU,1145,1150,1140,3,0,0,1,0,0.01,0.12,0.11,2,0,2.4,70,16,0,0,1,25,1,0,2,-1,47,False,0,364,MID,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2127659574468085
0.0,5,BHA,1100,1135,1070,3,0,0,3,0,0.04,0.08,0.04,1,0,2.6,80,9,0,0,1,26,1,1,1,-1,49,True,0,133,MID,3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2040816326530612
0.0,2,AVL,1160,1180,1140,4,0,0,2,0,0.14,0.14,0.0,4,0,4.9,64,18,0,0,1,28,1,4,0,-1,54,True,0,50,MID,4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.1851851851851851
0.0,10,FUL,1175,1170,1180,3,0,0,-3,0,0.0,0.0,0.0,1,0,0.0,29,20,1,0,0,28,0,1,2,-1,49,False,0,268,MID,3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.2040816326530612
0.0,8,CRY,1100,1085,1120,3,0,0,-3,0,0.04,0.13,0.09,1,0,0.9,70,20,0,0,1,37,0,3,1,-1,43,False,0,219,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2325581395348837
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,45,True,0,3,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,55,True,0,4,MID,3,3.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,55,True,0,9,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,45,True,0,11,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,50,True,0,16,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12,LUT,1055,1090,1020,2,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,50,True,0,21,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,55,True,0,22,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,1,0,1,2,0,60,True,0,30,MID,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,60,False,0,35,MID,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,50,False,0,40,MID,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,45,False,0,46,MID,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,60,False,0,55,MID,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,45,False,0,56,MID,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,1,0,1,5,0,50,False,0,59,MID,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,50,True,0,66,MID,3,3.7,0.0,0.0,0.0,0.0,-1.0,0.3,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,45,True,0,67,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,45,True,0,71,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,50,True,0,73,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,45,True,0,74,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,50,True,0,78,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,45,True,0,79,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,55,True,0,86,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,19,0,0,0,1,0,1,1,0,50,True,0,87,MID,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,45,True,0,94,MID,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,50,True,0,95,MID,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,50,True,0,99,MID,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,50,True,0,107,MID,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,50,True,0,111,MID,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,45,True,0,118,MID,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,1,0,2,2,0,45,True,0,120,MID,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,1,0,1,4,0,45,True,0,123,MID,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,1,0,1,4,0,45,True,0,124,MID,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,1,0,1,4,0,50,True,0,125,MID,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
